"Product Id","Handle","Title","Type","Theme","PriceMin","PriceMax","CompareAt","Sizes","Vendor","Published","Stock Status","Tags","PromoteStatus","PromotePhase"
"'1000000666337682'","crazy-cat-lady-in-progress-womens-tee","Crazy cat lady in progress. Women's Tee","","Cat","44.95","44.95","53.94","Black/Navy/Coal/Sage/Grey Marle/White","DAKOfits","TRUE","","","",""
"'1000000666337706'","my-cat-gets-me-womens-tee","My cat gets me. Women's Tee","","Cat","44.95","44.95","53.94","Black/Navy/Coal/Sage/Grey Marle/White","DAKOfits","TRUE","","","",""
"'1000000666337683'","proud-cat-person-no-shame-womens-tee","Proud cat person, no shame. Women's Tee","","Cat","44.95","44.95","53.94","Black/Navy/Coal/Sage/Grey Marle/White","DAKOfits","TRUE","","","",""
"'1000000666337739'","worlds-best-cat-servant-womens-tee","World's best cat servant. Women's Tee","","Cat","44.95","44.95","53.94","Black/Navy/Coal/Sage/Grey Marle/White","DAKOfits","TRUE","","","",""
"'1000000666337452'","anime-collage-cat-cafe-bike-shorts","Anime Collage Cat Cafe Bike Shorts","Bike Shorts","Cat","64.99","64.99","77.99","XS/S/M/L/XL/2XL/3XL","DAKOfits","TRUE","","activewear,all-over print,anime,anime bike shorts,bike shorts,cat cafe,dakofits,gym wear,kawaii,leggings,manga,novelty print,printed bike shorts,running shorts,unique activewear,women's activewear,women's bike shorts,workout shorts,yoga shorts","",""
"'1000000666337093'","black-cat-constellation-bike-shorts","Black Cat Constellation Bike Shorts","Bike Shorts","Cat","64.99","64.99","77.99","XS/S/M/L/XL/2XL/3XL","DAKOfits","TRUE","","activewear,all-over print,animal print,australian design,bike shorts,black cat,cat print,celestial,constellation,dakofits,gold,high waisted shorts,midnight blue,printed bike shorts,running shorts,silver,women's activewear,workout shorts,yoga shorts","",""
"'1000000666153729'","kawaii-space-cats-bike-shorts","Kawaii Space Cats Bike Shorts","Bike Shorts","Cat","64.99","64.99","77.99","XS/S/M/L/XL/2XL/3XL","DAKOfits","TRUE","","activewear,all-over print,bike shorts,cat bike shorts,comfortable bike shorts,cute bike shorts,dakofits,kawaii,kawaii bike shorts,kawaii space cats,neon bike shorts,printed bike shorts,running shorts,space bike shorts,women's activewear,workout shorts,yoga shorts","",""
"'1000000666153525'","vibrant-cats-everywhere-bike-shorts","Vibrant Cats Everywhere Bike Shorts","Bike Shorts","Cat","64.99","64.99","77.99","XS/S/M/L/XL/2XL/3XL","DAKOfits","TRUE","","activewear,all-over print,animal print,animals,australian brand,bike shorts,bold print,cat print,cats,dakofits,gym shorts,high waisted,leggings,printed bike shorts,running shorts,vibrant,women's activewear,workout shorts,yoga shorts","",""
"'1000000666337245'","anime-collage-cat-cafe-capri-leggings","Anime Cat Cafe Capri Leggings","Capri Leggings","Cat","80.99","80.99","97.99","XS/S/M/L/XL","DAKOfits","TRUE","","activewear,all-over print,anime,australia,capri leggings,cat cafe,dakofits,graphic leggings,gym leggings,japanese style,kawaii,leggings,novelty leggings,printed leggings,women's activewear,women's capri leggings,workout leggings,yoga pants","",""
"'1000000666337244'","black-cat-constellation-capri-leggings-1","Black Cat Constellation Capri Leggings","Capri Leggings","Cat","80.99","80.99","97.99","XS/S/M/L/XL","DAKOfits","TRUE","","activewear,all over print,australia,black capri leggings,black cat,capri leggings,celestial,constellation,fitness apparel,dakofits,high waisted leggings,leggings,midnight blue,printed leggings,women's leggings,workout leggings,yoga pants","",""
