Product Id,Variant Id,Handle,Title,Body (Html),Vendor,Type,Tags,Published,Option Fulfill Value,Custom Option,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant Sku,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,Google Shopping / Mpn,Google Shopping / Age Group,Google Shopping / Gender,Google Shopping / Google Product Category,Seo Title,Seo Description,Google Shopping / Adwords Grouping,Google Shopping / Adwords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost Per Item,Available On Listing Pages,Available On Sitemap Files,Template,Shipping Profile Name,Variant Tag,Facebook Pixel Id,Facebook Access Token,Product Stock Status,Shipping Fee,Base Cost Variant
'1000000665805643','1000020408803920',colorful-butterflies-leggings,Colorful Butterflies Leggings,"<p>Adorn yourself in the beauty of nature with our Colorful Butterflies Leggings. These leggings bring a whimsical touch to your workout or everyday style, featuring a vibrant butterfly print that gracefully wraps around your leg. Perfect for the woman who embraces color and radiates positive energy, these leggings are sure to turn heads.</p>
<h2>Why You'll Love It</h2>
<ul>
<li>Full-length coverage provides a flattering silhouette and keeps you comfortable.</li>
<li>Experience a buttery-soft feel that makes you feel like you're wearing a second skin.</li>
<li>Squat-proof fabric ensures confidence during any activity.</li>
<li>The vibrant butterfly print wraps around your legs for a stunning, head-turning effect.</li>
<li>Designed with a comfortable waistband that stays in place without digging in.</li>
<li>Four-way stretch fabric allows for a full range of motion, perfect for yoga, gym sessions, or running errands.</li>
<li>Easy care: Machine wash cold, tumble dry low.</li>
<li>Made from a high-quality blend of 82% polyester and 18% spandex for optimal comfort and durability.</li>
</ul>
<h2>You Might Also Like</h2>
<ul>
  <li><a href=""/products/colorful-butterflies-capris"" style=""color: #00d1b5; text-decoration: underline;"">Colorful Butterflies Capris</a></li>
  <li><a href=""/products/colorful-butterflies-sports-bra"" style=""color: #00d1b5; text-decoration: underline;"">Colorful Butterflies Sports bra</a></li>
</ul>",DAKOfits,Leggings,"animal,butterflies,colorful,colorful vibrant,mysterybox",TRUE,,,Size,XS,Color,Pink,,,,136,shopbase,100,continue,manual,88.99,106.99,true,TRUE,,https://img.btdmp.com/10685/10685143/products/origin/gexdmobvgeAdgmrqgaBdmobzgexdambqgaxdmnrvhaxdknrugmxtaojygeAdqnbw.jpeg,1,,,,,,,,,,,,,,,,,,,lb,,0,TRUE,TRUE,Default,,,,,,,
'1000000665805643','1000020408803921',colorful-butterflies-leggings,,,,,,,,,,S,,Pink,,,,142,shopbase,100,continue,manual,88.99,106.99,true,TRUE,,https://img.btdmp.com/10685/10685143/products/origin/gexdmobvgeAdgmrqgaBdmobzgexdambqgaxdmnrvhaxdknrugmxtaojygeAdqnbs.jpeg,2,,,,,,,,,,,,,,,,,,,lb,,0,,,,,,,,,0,0
'1000000665805643','1000020408803922',colorful-butterflies-leggings,,,,,,,,,,M,,Pink,,,,153,shopbase,100,continue,manual,88.99,106.99,true,TRUE,,https://img.btdmp.com/10685/10685143/products/origin/gexdmobvgeAdgmrqgaBdmobzgexdambqgaxdmnrvhaxdknrugmxtaojygeAdqnbt.jpeg,3,,,,,,,,,,,,,,,,,,,lb,,0,,,,,,,,,0,0
'1000000665805643','1000020408803923',colorful-butterflies-leggings,,,,,,,,,,L,,Pink,,,,162,shopbase,100,continue,manual,88.99,106.99,true,TRUE,,https://img.btdmp.com/10685/10685143/products/origin/gexdmobvgeAdgmrqgaBdmobzgexdambqgaxdmnrvhaxdknrugmxtaojygeAdqnbu.jpeg,4,,,,,,,,,,,,,,,,,,,lb,,0,,,,,,,,,0,0
'1000000665805643','1000020408803924',colorful-butterflies-leggings,,,,,,,,,,XL,,Pink,,,,181,shopbase,100,continue,manual,88.99,106.99,true,TRUE,,https://img.btdmp.com/10685/10685143/products/origin/gexdmobvgeAdgmrqgaBdmobzgexdambqgaxdmnrvhaxdknrugmxtaojygeAdqnbv.jpeg,5,,,,,,,,,,,,,,,,,,,lb,,0,,,,,,,,,0,0
'1000000665805644','1000020408803925',solid-deep-yellow-leggings,Solid Deep Yellow Leggings,"<p>These Solid Deep Yellow Leggings offer a touch of sunshine for your active wardrobe. They're perfect for the woman who wants a pop of color that's both bold and sophisticated. Pair them with darker tones for a chic, coordinated look or let them stand out as a statement piece.</p>
<h2>Why You'll Love It</h2>
<ul>
 <li>Deep yellow shade that adds vibrancy to any workout or casual outfit.</li>
 <li>Designed for full-length coverage and a flattering silhouette.</li>
 <li>Squat-proof fabric ensures confidence during even the most intense workouts.</li>
 <li>Buttery-soft feel provides exceptional comfort for all-day wear.</li>
 <li>The high waistband offers a secure and flattering fit.</li>
 <li>Features a four-way stretch for unrestricted movement during yoga, gym sessions, or running.</li>
 <li>The vibrant print wraps seamlessly around the leg, creating a visually stunning effect.</li>
 <li>Easy care: Machine wash cold, tumble dry low.</li>
</ul>
<h2>You Might Also Like</h2>
<ul>
  <li><a href=""/products/solid-deep-yellow-yoga-shorts"" style=""color: #00d1b5; text-decoration: underline;"">Solid Deep Yellow Yoga Shorts</a></li>
  <li><a href=""/products/solid-deep-yellow-yoga-pants"" style=""color: #00d1b5; text-decoration: underline;"">Solid Deep Yellow Yoga Pants</a></li>
  <li><a href=""/products/solid-deep-yellow-capris"" style=""color: #00d1b5; text-decoration: underline;"">Solid Deep Yellow Capris</a></li>
</ul>

<!--rfx4-related-orphans-->
<p><strong>You may also like:</strong> <a href=""https://DAKOfits.com/products/solid-deep-red-yoga-pants"">Solid Deep Red Yoga Pants</a></p>
",DAKOfits,Leggings,"activewear,colorful,colorful vibrant,deep yellow,mysterybox,solid,solid colors,solid leggings,sport,sports,yellow",TRUE,,,Size,XS,Color,deep yellow,,,,136,shopbase,100,continue,manual,88.99,106.99,true,TRUE,,https://img.btdmp.com/10685/10685143/products/origin/gexdmobvgeAdgmrqgaBdmobzgexdambqgaxdmnrvhaxdknrugqxtaojygeAdqnjr.jpeg,1,,,,,,,,,,,,,,,,,,,lb,,0,TRUE,TRUE,Default,,,,,,,
'1000000665805644','1000020408803926',solid-deep-yellow-leggings,,,,,,,,,,S,,deep yellow,,,,142,shopbase,100,continue,manual,88.99,106.99,true,TRUE,,https://img.btdmp.com/10685/10685143/products/origin/gexdmobvgeAdgmrqgaBdmobzgexdambqgaxdmnrvhaxdknrugqxtaojygeAdqnby.jpeg,2,,,,,,,,,,,,,,,,,,,lb,,0,,,,,,,,,0,0
'1000000665805644','1000020408803927',solid-deep-yellow-leggings,,,,,,,,,,M,,deep yellow,,,,153,shopbase,100,continue,manual,88.99,106.99,true,TRUE,,https://img.btdmp.com/10685/10685143/products/origin/gexdmobvgeAdgmrqgaBdmobzgexdambqgaxdmnrvhaxdknrugqxtaojygeAdqnbx.jpeg,3,,,,,,,,,,,,,,,,,,,lb,,0,,,,,,,,,0,0
'1000000665805644','1000020408803928',solid-deep-yellow-leggings,,,,,,,,,,L,,deep yellow,,,,162,shopbase,100,continue,manual,88.99,106.99,true,TRUE,,https://img.btdmp.com/10685/10685143/products/origin/gexdmobvgeAdgmrqgaBdmobzgexdambqgaxdmnrvhaxdknrugqxtaojygeAdqnbz.jpeg,4,,,,,,,,,,,,,,,,,,,lb,,0,,,,,,,,,0,0
'1000000665805644','1000020408803929',solid-deep-yellow-leggings,,,,,,,,,,XL,,deep yellow,,,,181,shopbase,100,continue,manual,88.99,106.99,true,TRUE,,https://img.btdmp.com/10685/10685143/products/origin/gexdmobvgeAdgmrqgaBdmobzgexdambqgaxdmnrvhaxdknrugqxtaojygeAdqnjq.jpeg,5,,,,,,,,,,,,,,,,,,,lb,,0,,,,,,,,,0,0
